Date,Open Interest,Open,High,Low,Close,Volume,Long Short Ratio
2020-09-15,10462,10677.754883,10938.631836,10656.459961,10796.951172,32509451925,0.7127257883457495
2020-09-22,9324,10459.624023,10568.077148,10382.726563,10538.459961,23621787804,0.7212680115273775
2020-09-29,8028,10709.650391,10860.000977,10649.495117,10844.640625,46582396602,0.7164519592055824
2020-10-06,8233,10796.306641,10797.578125,10528.890625,10604.40625,42623695307,0.7136929460580913
2020-10-13,10349,11548.719727,11548.984375,11321.224609,11425.899414,24241420251,0.7478623778501629
2020-10-20,12019,11745.974609,11999.917969,11681.480469,11916.334961,30915821592,0.7666724108219887
2020-10-27,14645,13075.242188,13759.668945,13060.837891,13654.21875,33749878156,0.780946988463444
2020-11-03,12314,13550.451172,13984.981445,13325.441406,13950.300781,29869951617,0.7487131887604421
2020-11-10,12579,15332.350586000002,15450.329102000002,15124.959961000002,15290.902344,25574938143,0.8120603015075377
2020-11-17,13080,16685.691406,17782.919922,16564.544922,17645.40625,39006849170,0.8039072039072039
2020-11-24,13972,18365.015625,19348.271484,18128.65625,19107.464844,51469565009,0.8222919216646267
2020-12-01,12856,19633.769531,19845.974609,18321.921875,18802.998047,49633658712,0.7660989456609895
2020-12-08,12817,19191.529297,19283.478516,18269.945313,18321.144531,31692288756,0.7618541530412034
2020-12-15,12632,19246.919922,19525.007813,19079.841797,19417.076172,26741982541,0.7869127516778524
2020-12-21,14367,23474.455078,24059.982422,22159.367188,22803.082031,45852713981,0.7615441176470589
2020-12-29,11370,27081.810547000005,27370.720702999995,25987.298828,27362.4375,45265946774,0.7645557655954631
2021-01-05,12255,31977.041016000003,34437.589844,30221.1875,33992.429688,67547324782,0.77086815023309
2021-01-12,13024,35516.359375,36568.527344,32697.976563,33922.960938,74773277909,0.7496331322354476
2021-01-19,13055,36642.234375,37755.890625,36069.804688,36069.804688,57244195486,0.7684676559809789
2021-01-26,11742,32358.613281,32794.550781,31030.265625,32569.849608999997,60255421470,0.7738117085703798
2021-02-02,10134,33533.199219,35896.882813,33489.21875,35510.289063,63088585433,0.7369204593789876
2021-02-09,11853,46184.992188,48003.722656,45166.960938,46481.105469,91809846886,0.7525913802509547
2021-02-16,12216,47944.457031,50341.101563,47201.304688,49199.871094,77049582886,0.7545726345409779
2021-02-23,11394,54204.929688,54204.929688,45290.589844,48824.425781,106102492824,0.8060117161240756
2021-03-02,8590,49612.105469,50127.511719,47228.84375,48378.988281,47530897720,0.7840923835474244
2021-03-09,9342,52272.96875,54824.117188,51981.832031,54824.117188,50912227385,0.7876264128494943
2021-03-16,9951,55840.78515599999,56833.179688,53555.027344,56804.90234400001,59749798599,0.7436177176521929
2021-03-23,10491,54511.66015599999,55985.44140599999,53470.695313,54738.945313,56435023914,0.7877529839128179
2021-03-30,9504,57750.132813,59447.22265599999,57251.55078099999,58917.69140599999,54414116432,0.7802297804572859
2021-04-06,10047,59171.93359400001,59479.578125,57646.80859400001,58192.359375,66058027988,0.7835151777033597
2021-04-13,9890,59890.01953099999,63742.28515599999,59869.95703099999,63503.45703099999,69983454362,0.7667724636094998
2021-04-20,9028,55681.79296900001,57062.148438,53448.046875,56473.03125,67849323955,0.7640571982549685
2021-04-27,8663,54030.304688,55416.96484400001,53319.1875,55033.117188,49448222757,0.778276362676521
2021-05-04,8528,57214.179688,57214.179688,53191.425781,53333.539063,68564706967,0.8098304639243001
2021-05-11,8469,55847.242188,56872.54296900001,54608.65234400001,56704.57421900001,61308396325,0.820755959436323
2021-05-18,9522,43488.058594,45812.457031,42367.832031,42909.402344,56187365084,0.8826061663757999
